story,url,title,descr
https://www.eurosport.ru/football/,https://video.eurosport.ru/tennis/atp-acapulco/2019/video_vid1169077.shtml,Кирьос поиздевался над Надалем унизительной подачей и моментально словил хейт трибун,И недовольство Надаля.
https://www.eurosport.ru/football/,https://video.eurosport.ru/tennis/atp-acapulco/2019/video_vid1169063.shtml,"Невероятно красивый матч Надаля и Кирьоса, после которого Ник обезумел от счастья и победы",Австралиец прошел легендарного испанца в Акапулько.
https://www.eurosport.ru/football/,https://video.eurosport.ru/cycling-track/world-championships/2018-2019/video_vid1168941.shtml,"Даже массовые аварии во время заездов NASCAR выглядят не так ужасно, как этот завал девушек на треке",Вы только взгляните на это месиво.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/brazilian-serie-a/2019/story_sto7164447.shtml,Вагнер Лав вышел на замену и уже через 5 минут вколотил голасо в стиле джиу-джитсу,Армейская школа.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/serie-a/2018-2019/story_sto7164364.shtml,У Ванды Нары есть потрясная сестра. Она сверкает на подиуме и была помолвлена с Форланом,Заира Нара точно не прячется в тени сестры.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164357.shtml,Марсело на скамейке «Реала» разучил пару фокусов и завораживающе покрутил мяч на одном пальце,Магия не помогла «бланкос».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164331.shtml,«Реал» проиграл «Барселоне» и впервые за 23 года потерпел 5 крупных поражений за сезон,Сезон летит в трубу.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164248.shtml,Экс-президента «Барсы» Роселя выпустили из тюрьмы перед Класико. Он провел в заключении 643 дня,Разбирательство еще не закончено.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164225.shtml,«Не дадим им забить 6». Серхио Рамос дал партнерам установку после третьего гола «Барселоны»,Задание успешно выполнено.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164219.shtml,"Потрясающий промах Бэйла, который четко показывает, почему Гарет плотно присел в запас «Реала»",У «бланкос» не получилось ничего.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164208.shtml,"Серхио Регилон идеально замыкал навес Винисиуса, но Тер Штеген выдал сэйв для обложки журнала",Немецкий вратарь – один из героев Класико.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7164213.shtml,"Ромелу Лукаку в стиле супермена затащил матч с «Пэласом», а Эшли Янг окончательно прибил интригу",Важные три очка в борьбе за ЛЧ.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7164156.shtml,"Не нужно истерик после Класико. «Реалом» снова рулит костяк, они еще возьмут четвертую ЛЧ подряд","В раздевалке командует Солари, но главный все равно Рамос."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7164028.shtml,Сарри – не безнадежный упрямец. Тренер «Челси» исправился и заслуженно победил в дерби,"«Синие» грохнули «Тоттенхэм» цинично, как в лучшие годы."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7163932.shtml,"Дубль Мане, дубль Ван Дейка, гол Ориджи – парни Клоппа забили 5 и прогнали «шершней» из их улья","А какая была бы аллитерация в заголовке, если бы «красных» все еще тренировал Жерар Улье."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/standing.shtml,Таблица Чемпионат Англии - Футбол,Все таблицы и статистика : Чемпионат Англии-2018-2019 на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7164004.shtml,Дичайший автогол Триппьера и страйк Педро в ближний – «Челси» дома завалил «Тоттенхэм»,«Синие» продолжают борьбу за ЛЧ.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/live_mtc1033223.shtml,Онлайн Челси - Тоттенхэм - Чемпионат Англии - 27 февраля 2019,Встреча Чемпионат Англии между Челси - Тоттенхэм в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/live_mtc1033221.shtml,Онлайн Кристал Пэлас - Манчестер Юнайтед - Чемпионат Англии - 27 февраля 2019,Встреча Чемпионат Англии между Кристал Пэлас - Манчестер Юнайтед в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7163986.shtml,"«Барса» унизила «Реал» тремя безответными голами, один из которых – паненка Луиса Суареса","Суарес, Варан и еще разок Суарес – «сине-гранатовые» были неудержимы."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/live_mtc1033219.shtml,Онлайн Манчестер Сити - Вест Хэм - Чемпионат Англии - 27 февраля 2019,Встреча Чемпионат Англии между Манчестер Сити - Вест Хэм в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/live_mtc1060238.shtml,Онлайн Реал Мадрид - Барселона - Кубок Испании - 27 февраля 2019,Встреча Кубок Испании между Реал Мадрид - Барселона в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/live_mtc1033226.shtml,Онлайн Ливерпуль - Уотфорд - Чемпионат Англии - 27 февраля 2019,Встреча Чемпионат Англии между Ливерпуль - Уотфорд в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/live_mtc1033210.shtml,Онлайн Арсенал - Борнмут - Чемпионат Англии - 27 февраля 2019,Встреча Чемпионат Англии между Арсенал - Борнмут в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7163881.shtml,"Нелсон Семеду всадил Винисиусу по ахиллу, но арбитр простил «Барсу» и не дал пенальти",Был контакт или нет?
